,Model,hr500k.conllup_extracted.json-Macro F1,hr500k.conllup_extracted.json-Std,reldi-normtagner-hr.conllup_extracted.json-Macro F1,reldi-normtagner-hr.conllup_extracted.json-Std,reldi-normtagner-sr.conllup_extracted.json-Macro F1,reldi-normtagner-sr.conllup_extracted.json-Std,set.sr.plus.conllup_extracted.json-Macro F1,set.sr.plus.conllup_extracted.json-Std
0,bertic,0.925,0.005773502691896279,0.785,0.01000000000000002,0.81,0.0081649658092772,0.9325,0.0049999999999999455
1,bertic-old,0.9125000000000001,0.009574271077563392,0.7424999999999999,0.03304037933599837,0.6599999999999999,0.06976149845485449,0.8175,0.028722813232690086
2,csebert,0.9125000000000001,0.005000000000000008,0.7575000000000001,0.02061552812808831,0.7275,0.015000000000000027,0.9075,0.004999999999999986
3,xlm-r-base,0.905,0.005773502691896263,0.7324999999999999,0.018929694486000948,0.6225,0.048562674281111544,0.8925000000000001,0.004999999999999989
4,xlm-r-large,0.92,0.0,0.7775000000000001,0.02217355782608346,0.77,0.008164965809277268,0.9325,0.0049999999999999455
5,xlmrb_bcms-12,0.91,0.0,0.7675000000000001,0.03201562118716426,0.745,0.03316624790355402,0.9025000000000001,0.004999999999999989
6,xlmrb_bcms-24,0.92,0.0,0.77,0.04242640687119289,0.745,0.026457513110645932,0.9225,0.01500000000000002
7,xlmrb_bcms-36,0.92,0.0,0.76,0.02708012801545322,0.7575000000000001,0.005000000000000008,0.9125000000000001,0.01707825127659934
8,xlmrb_bcms-48,0.915,0.005773502691896263,0.79,0.01414213562373095,0.77,0.008164965809277268,0.915,0.01000000000000002
9,xlmrb_bcms-60,0.92,0.0,0.7575000000000001,0.03774917217635377,0.7775000000000001,0.01707825127659935,0.925,0.012909944487358016
10,xlmrb_bcms-72,0.9225000000000001,0.004999999999999986,0.785,0.012909944487358068,0.7575000000000001,0.02500000000000002,0.915,0.01
11,xlmrb_bcms-84,0.92,0.0,0.7775000000000001,0.012583057392117921,0.775,0.012909944487358068,0.925,0.005773502691896263
12,xlmrb_bcms-96,0.92,0.0,0.7925,0.02629955639676583,0.785,0.01000000000000002,0.9275,0.009574271077563354
13,xlmrl_bcms-12,0.925,0.005773502691896263,0.79,0.011547005383792526,0.7875000000000001,0.026299556396765844,0.9325,0.004999999999999971
14,xlmrl_bcms-18,0.9225000000000001,0.004999999999999989,0.795,0.017320508075688707,0.7675000000000001,0.02217355782608344,0.9375,0.004999999999999921
15,xlmrl_bcms-24,0.9275,0.004999999999999989,0.78,0.011547005383792526,0.785,0.023804761428476182,0.9475,0.009574271077563399
16,xlmrl_bcms-30,0.925,0.005773502691896263,0.7925,0.02629955639676583,0.805,0.01,0.945,0.005773502691896279
17,xlmrl_bcms-36,0.93,0.0,0.8,0.011547005383792509,0.8025,0.03095695936834447,0.9375,0.0049999999999999455
18,xlmrl_bcms-42,0.9275,0.005000000000000008,0.7725,0.00957427107756342,0.7825,0.017078251276599336,0.94,0.0
19,xlmrl_bcms-48,0.9275,0.005000000000000008,0.7825,0.020615528128088343,0.7675000000000001,0.026299556396765844,0.94,0.008164965809277239
20,xlmrl_bcms-6,0.925,0.005773502691896279,0.785,0.017320508075688787,0.8,0.008164965809277268,0.94,0.0
21,xlmrl_sl-bcms-12,0.9275,0.004999999999999989,0.7825,0.009574271077563411,0.79,0.014142135623730956,0.9424999999999999,0.005000000000000023
22,xlmrl_sl-bcms-18,0.9225000000000001,0.004999999999999989,0.78,0.008164965809277256,0.78,0.01825741858350554,0.9375,0.004999999999999921
23,xlmrl_sl-bcms-24,0.93,0.0,0.785,0.010000000000000009,0.8,0.02708012801545318,0.9424999999999999,0.004999999999999989
24,xlmrl_sl-bcms-30,0.9275,0.005000000000000008,0.79,0.008164965809277268,0.79,0.031622776601683764,0.9424999999999999,0.005000000000000023
25,xlmrl_sl-bcms-36,0.9325,0.0049999999999999455,0.79,0.016329931618554547,0.8025,0.020615528128088294,0.935,0.005773502691896188
26,xlmrl_sl-bcms-42,0.925,0.005773502691896263,0.7875,0.03499999999999997,0.8025,0.02061552812808824,0.95,0.008164965809277256
27,xlmrl_sl-bcms-48,0.925,0.005773502691896263,0.785,0.01290994448735808,0.7975000000000001,0.01500000000000002,0.94,0.0
28,xlmrl_sl-bcms-6,0.925,0.005773502691896263,0.785,0.010000000000000009,0.7825,0.02872281323269017,0.9375,0.0049999999999999455
