,Model,hr500k.conllup_extracted.json-Macro F1,hr500k.conllup_extracted.json-Std,reldi-normtagner-hr.conllup_extracted.json-Macro F1,reldi-normtagner-hr.conllup_extracted.json-Std,reldi-normtagner-sr.conllup_extracted.json-Macro F1,reldi-normtagner-sr.conllup_extracted.json-Std,set.sr.plus.conllup_extracted.json-Macro F1,set.sr.plus.conllup_extracted.json-Std
0,bertic,0.9245666666666666,0.002837839553839064,0.7919,0.01637162178893713,0.7978333333333333,0.03267144522872128,0.9356,0.004493328387732207
1,csebert,0.9178666666666667,0.0019553345834750074,0.7936,0.00571926568713151,0.7507999999999999,0.011622822376686298,0.9215666666666666,0.002230097157823699
2,xlm-r-base,0.9030666666666667,0.0012342339054382976,0.7632333333333333,0.016101656229510417,0.7335333333333334,0.02396775611802938,0.9141,0.004059556626036897
3,xlm-r-large,0.9193333333333333,0.005357549190939227,0.7905333333333333,0.013639037111663404,0.7742666666666667,0.012833290043217007,0.9333666666666667,0.005120872321522306
4,xlmrb_bcms-12,0.9147666666666666,0.0014153915830374573,0.7684000000000001,0.009752435593224902,0.7652,0.00490306026885252,0.9257333333333334,0.005128677542342963
5,xlmrb_bcms-24,0.9109999999999999,0.004107310555582576,0.7696666666666667,0.018489276171157514,0.7855333333333334,0.0067987743993556185,0.9245666666666666,0.006006940430313374
6,xlmrb_bcms-36,0.9122333333333333,0.004315476026272565,0.7895,0.02418697996856988,0.7683,0.02368881592650842,0.9300333333333333,0.0013796134724383096
7,xlmrb_bcms-48,0.9161999999999999,0.006510760324263268,0.7913,0.014706461165079713,0.7719333333333335,0.006280392769033904,0.9322,0.0007549834435271058
8,xlmrb_bcms-60,0.9161,0.0012288205727444726,0.7858333333333333,0.014661627922346602,0.8020666666666667,0.0018929694486000417,0.9303666666666667,0.0027153882472555017
9,xlmrb_bcms-72,0.9157333333333333,0.0011503622617825202,0.8061666666666666,0.005462905209989752,0.7869666666666667,0.01763783811393369,0.9287333333333333,0.005529315810598364
10,xlmrb_bcms-84,0.9184666666666667,0.00418847625435953,0.7816666666666666,0.015717930313286544,0.7788666666666666,0.005052062285179508,0.9235333333333333,0.004483674088661386
11,xlmrb_bcms-96,0.9170666666666666,0.002157158624981824,0.7924666666666665,0.01783741386337528,0.7883333333333334,0.00899129208364033,0.9265,0.0038587562763149658
12,xlmrl_bcms-12,0.9227666666666666,0.00397030645332737,0.8102,0.003469870314579496,0.7747333333333334,0.02398589863510085,0.9408666666666666,0.004178915329763657
13,xlmrl_bcms-18,0.9181666666666667,0.004957149718672339,0.8184666666666667,0.014745281731229586,0.8123333333333335,0.01026174124275867,0.9468333333333333,0.004705670338361289
14,xlmrl_bcms-24,0.9212333333333333,0.00241729876790874,0.8102666666666667,0.027110391611581956,0.8162333333333334,0.026204070930550747,0.9436666666666667,0.0010969655114602963
15,xlmrl_bcms-30,0.9288333333333334,0.0046285346853332755,0.8032333333333334,0.013107377057723397,0.8342666666666666,0.026155751438896434,0.9417666666666666,0.004247744499535393
16,xlmrl_bcms-36,0.9290333333333333,0.001550268793897757,0.8144666666666667,0.004804511768466509,0.8050666666666667,0.06443495428207688,0.9376000000000001,0.0033778691508109197
17,xlmrl_bcms-42,0.9259000000000001,0.0027055498516937323,0.7974666666666668,0.015153327467369445,0.8339666666666666,0.018468983007554375,0.9481333333333333,0.007788024995679776
18,xlmrl_bcms-48,0.9268333333333333,0.0007023769168568562,0.8092666666666667,0.03245309435683033,0.8413666666666666,0.012899741599479165,0.9396999999999999,0.0034828149534536163
19,xlmrl_bcms-6,0.9170333333333334,0.004588391148685281,0.8102,0.021489299662855527,0.8062333333333335,0.006310573138260368,0.9415333333333334,0.002804163571073039
20,xlmrl_sl-bcms-12,0.9263,0.0011999999999999789,0.8053333333333333,0.034215834540945164,0.7971333333333334,0.014468701853771556,0.9441,0.002884441020371197
21,xlmrl_sl-bcms-18,0.9220666666666667,0.005398456569551485,0.8022333333333332,0.020818821612505676,0.7719999999999999,0.02083530657321838,0.9458333333333333,0.004858326186386976
22,xlmrl_sl-bcms-24,0.9256333333333333,0.0014011899704655766,0.7788333333333334,0.023879977666097903,0.8245,0.016104657711357884,0.9408333333333333,0.004952103929981045
23,xlmrl_sl-bcms-30,0.9254333333333333,0.0036555893277737234,0.8024666666666667,0.01722914197902299,0.7875,0.020728965241902465,0.9451999999999999,0.006390618123468272
24,xlmrl_sl-bcms-36,0.9253,0.003803945320322072,0.8199333333333333,0.0033080709383768213,0.8088000000000001,0.010405767631462897,0.9409000000000001,0.010132620588969032
25,xlmrl_sl-bcms-42,0.9266333333333333,0.0031895663237081467,0.8103666666666666,0.00767940969953632,0.8160666666666666,0.02955914973968864,0.9324,0.008418432158068348
26,xlmrl_sl-bcms-48,0.9232999999999999,0.0056311632901204466,0.8122666666666666,0.011923226632641608,0.8243999999999999,0.00622334315300063,0.9487666666666666,0.0033261589458914343
27,xlmrl_sl-bcms-6,0.9202666666666666,0.007071303510197645,0.7888666666666667,0.03413712544039602,0.7898,0.031201923017660324,0.9414333333333333,0.01017906348017014
