,Run,datasets/hr500k.conllup_extracted.json,datasets/reldi-normtagner-hr.conllup_extracted.json,datasets/reldi-normtagner-sr.conllup_extracted.json,datasets/set.sr.plus.conllup_extracted.json
0,bertic-0,0.93,0.8,0.8,0.93
1,bertic-0-old,0.9,0.79,0.64,0.86
2,bertic-1,0.93,0.78,0.82,0.93
3,bertic-1-old,0.92,0.72,0.72,0.81
4,bertic-2,0.92,0.78,0.81,0.94
5,bertic-2-old,0.92,0.72,0.71,0.8
6,bertic-3,0.92,0.78,0.81,0.93
7,bertic-3-old,0.91,0.74,0.57,0.8
8,csebert-0,0.91,0.73,0.71,0.91
9,csebert-1,0.91,0.76,0.74,0.91
10,csebert-2,0.92,0.78,0.72,0.91
11,csebert-3,0.91,0.76,0.74,0.9
12,xlm-r-base-0,0.91,0.76,0.65,0.89
13,xlm-r-base-1,0.9,0.73,0.55,0.9
14,xlm-r-base-2,0.91,0.72,0.64,0.89
15,xlm-r-base-3,0.9,0.72,0.65,0.89
16,xlm-r-large-0,0.92,0.79,0.77,0.93
17,xlm-r-large-1,0.92,0.75,0.77,0.93
18,xlm-r-large-2,0.92,0.77,0.78,0.94
19,xlm-r-large-3,0.92,0.8,0.76,0.93
20,xlmrb_bcms-12-0,0.91,0.74,0.75,0.9
21,xlmrb_bcms-12-1,0.91,0.79,0.78,0.91
22,xlmrb_bcms-12-2,0.91,0.74,0.7,0.9
23,xlmrb_bcms-12-3,0.91,0.8,0.75,0.9
24,xlmrb_bcms-24-0,0.92,0.72,0.74,0.93
25,xlmrb_bcms-24-1,0.92,0.81,0.77,0.94
26,xlmrb_bcms-24-2,0.92,0.75,0.71,0.91
27,xlmrb_bcms-24-3,0.92,0.8,0.76,0.91
28,xlmrb_bcms-36-0,0.92,0.72,0.76,0.91
29,xlmrb_bcms-36-1,0.92,0.78,0.76,0.93
30,xlmrb_bcms-36-2,0.92,0.77,0.75,0.89
31,xlmrb_bcms-36-3,0.92,0.77,0.76,0.92
32,xlmrb_bcms-48-0,0.92,0.77,0.77,0.91
33,xlmrb_bcms-48-1,0.91,0.79,0.78,0.93
34,xlmrb_bcms-48-2,0.91,0.8,0.76,0.91
35,xlmrb_bcms-48-3,0.92,0.8,0.77,0.91
36,xlmrb_bcms-60-0,0.92,0.72,0.78,0.91
37,xlmrb_bcms-60-1,0.92,0.79,0.8,0.92
38,xlmrb_bcms-60-2,0.92,0.73,0.76,0.93
39,xlmrb_bcms-60-3,0.92,0.79,0.77,0.94
40,xlmrb_bcms-72-0,0.92,0.8,0.77,0.92
41,xlmrb_bcms-72-1,0.92,0.79,0.77,0.92
42,xlmrb_bcms-72-2,0.92,0.78,0.72,0.9
43,xlmrb_bcms-72-3,0.93,0.77,0.77,0.92
44,xlmrb_bcms-84-0,0.92,0.79,0.76,0.93
45,xlmrb_bcms-84-1,0.92,0.76,0.77,0.92
46,xlmrb_bcms-84-2,0.92,0.78,0.78,0.92
47,xlmrb_bcms-84-3,0.92,0.78,0.79,0.93
48,xlmrb_bcms-96-0,0.92,0.79,0.77,0.92
49,xlmrb_bcms-96-1,0.92,0.83,0.79,0.93
50,xlmrb_bcms-96-2,0.92,0.77,0.79,0.92
51,xlmrb_bcms-96-3,0.92,0.78,0.79,0.94
52,xlmrl_bcms-12-0,0.93,0.8,0.77,0.94
53,xlmrl_bcms-12-1,0.92,0.78,0.81,0.93
54,xlmrl_bcms-12-2,0.92,0.8,0.76,0.93
55,xlmrl_bcms-12-3,0.93,0.78,0.81,0.93
56,xlmrl_bcms-18-0,0.92,0.79,0.75,0.93
57,xlmrl_bcms-18-1,0.93,0.82,0.76,0.94
58,xlmrl_bcms-18-2,0.92,0.79,0.76,0.94
59,xlmrl_bcms-18-3,0.92,0.78,0.8,0.94
60,xlmrl_bcms-24-0,0.92,0.77,0.76,0.96
61,xlmrl_bcms-24-1,0.93,0.79,0.8,0.95
62,xlmrl_bcms-24-2,0.93,0.79,0.77,0.94
63,xlmrl_bcms-24-3,0.93,0.77,0.81,0.94
64,xlmrl_bcms-30-0,0.93,0.77,0.81,0.94
65,xlmrl_bcms-30-1,0.92,0.82,0.81,0.94
66,xlmrl_bcms-30-2,0.92,0.77,0.79,0.95
67,xlmrl_bcms-30-3,0.93,0.81,0.81,0.95
68,xlmrl_bcms-36-0,0.93,0.79,0.76,0.94
69,xlmrl_bcms-36-1,0.93,0.79,0.82,0.94
70,xlmrl_bcms-36-2,0.93,0.81,0.8,0.93
71,xlmrl_bcms-36-3,0.93,0.81,0.83,0.94
72,xlmrl_bcms-42-0,0.93,0.78,0.78,0.94
73,xlmrl_bcms-42-1,0.93,0.78,0.79,0.94
74,xlmrl_bcms-42-2,0.92,0.77,0.76,0.94
75,xlmrl_bcms-42-3,0.93,0.76,0.8,0.94
76,xlmrl_bcms-48-0,0.93,0.8,0.73,0.94
77,xlmrl_bcms-48-1,0.93,0.8,0.77,0.93
78,xlmrl_bcms-48-2,0.92,0.76,0.78,0.94
79,xlmrl_bcms-48-3,0.93,0.77,0.79,0.95
80,xlmrl_bcms-6-0,0.92,0.76,0.8,0.94
81,xlmrl_bcms-6-1,0.92,0.79,0.81,0.94
82,xlmrl_bcms-6-2,0.93,0.79,0.79,0.94
83,xlmrl_bcms-6-3,0.93,0.8,0.8,0.94
84,xlmrl_sl-bcms-12-0,0.92,0.78,0.78,0.94
85,xlmrl_sl-bcms-12-1,0.93,0.79,0.81,0.94
86,xlmrl_sl-bcms-12-2,0.93,0.79,0.79,0.94
87,xlmrl_sl-bcms-12-3,0.93,0.77,0.78,0.95
88,xlmrl_sl-bcms-18-0,0.92,0.79,0.79,0.93
89,xlmrl_sl-bcms-18-1,0.93,0.78,0.8,0.94
90,xlmrl_sl-bcms-18-2,0.92,0.78,0.76,0.94
91,xlmrl_sl-bcms-18-3,0.92,0.77,0.77,0.94
92,xlmrl_sl-bcms-24-0,0.93,0.78,0.81,0.94
93,xlmrl_sl-bcms-24-1,0.93,0.78,0.82,0.95
94,xlmrl_sl-bcms-24-2,0.93,0.78,0.76,0.94
95,xlmrl_sl-bcms-24-3,0.93,0.8,0.81,0.94
96,xlmrl_sl-bcms-30-0,0.93,0.79,0.76,0.94
