,Run,datasets/hr500k.conllup_extracted.json,datasets/reldi-normtagner-hr.conllup_extracted.json,datasets/reldi-normtagner-sr.conllup_extracted.json,datasets/set.sr.plus.conllup_extracted.json
0,bertic-0,0.92,0.79,0.81,0.93
1,bertic-1,0.93,0.77,0.82,0.94
2,bertic-2,0.93,0.81,0.76,0.93
3,csebert-0,0.92,0.79,0.75,0.92
4,csebert-1,0.92,0.8,0.74,0.92
5,csebert-2,0.92,0.8,0.76,0.92
6,xlm-r-base-0,0.9,0.75,0.72,0.91
7,xlm-r-base-1,0.9,0.76,0.72,0.92
8,xlm-r-base-2,0.9,0.78,0.76,0.91
9,xlm-r-large-0,0.92,0.77,,0.93
10,xlm-r-large-1,0.93,0.8,0.79,0.94
11,xlm-r-large-2,0.91,0.8,0.77,0.93
12,xlmrb_bcms-12-0,0.92,0.78,0.76,0.93
13,xlmrb_bcms-12-1,0.91,0.76,0.77,0.92
14,xlmrb_bcms-12-2,0.91,0.77,0.77,0.92
15,xlmrb_bcms-24-0,0.92,0.78,0.78,0.92
16,xlmrb_bcms-24-1,0.91,0.78,0.78,0.93
17,xlmrb_bcms-24-2,0.91,0.75,0.79,0.92
18,xlmrb_bcms-36-0,0.91,0.77,0.79,0.93
19,xlmrb_bcms-36-1,0.91,0.82,0.78,0.93
20,xlmrb_bcms-36-2,0.92,0.78,0.74,0.93
21,xlmrb_bcms-48-0,0.92,0.77,0.78,0.93
22,xlmrb_bcms-48-1,0.92,0.8,0.76,0.93
23,xlmrb_bcms-48-2,0.91,0.8,0.78,0.93
24,xlmrb_bcms-60-0,0.91,0.77,0.8,0.93
25,xlmrb_bcms-60-1,0.92,0.8,0.8,0.93
26,xlmrb_bcms-60-2,0.92,0.78,0.8,0.93
27,xlmrb_bcms-72-0,0.92,0.81,0.8,0.93
28,xlmrb_bcms-72-1,0.92,0.8,0.79,0.93
29,xlmrb_bcms-72-2,0.91,0.81,0.77,0.92
30,xlmrb_bcms-84-0,0.92,0.78,0.77,0.92
31,xlmrb_bcms-84-1,0.92,0.77,0.78,0.92
32,xlmrb_bcms-84-2,0.92,0.8,0.78,0.93
33,xlmrb_bcms-96-0,0.92,0.79,0.78,0.93
34,xlmrb_bcms-96-1,0.92,0.81,0.79,0.92
35,xlmrb_bcms-96-2,0.91,0.77,0.8,0.93
36,xlmrl_bcms-12-0,0.92,0.81,0.79,0.94
37,xlmrl_bcms-12-1,0.93,0.81,0.79,0.94
38,xlmrl_bcms-12-2,0.92,0.81,0.75,0.95
39,xlmrl_bcms-18-0,0.92,0.82,0.82,0.95
40,xlmrl_bcms-18-1,0.91,0.8,0.82,0.95
41,xlmrl_bcms-18-2,0.92,0.83,0.8,0.94
42,xlmrl_bcms-24-0,0.92,0.78,0.84,0.94
43,xlmrl_bcms-24-1,0.92,0.81,0.79,0.94
44,xlmrl_bcms-24-2,0.92,0.84,0.83,0.94
45,xlmrl_bcms-30-0,0.93,0.8,0.83,0.95
46,xlmrl_bcms-30-1,0.93,0.82,0.86,0.94
47,xlmrl_bcms-30-2,0.92,0.79,0.81,0.94
48,xlmrl_bcms-36-0,0.93,0.82,0.84,0.94
49,xlmrl_bcms-36-1,0.93,0.82,0.85,0.94
50,xlmrl_bcms-36-2,0.93,0.81,0.73,0.93
51,xlmrl_bcms-42-0,0.93,0.81,0.83,0.96
52,xlmrl_bcms-42-1,0.93,0.78,0.86,0.94
53,xlmrl_bcms-42-2,0.92,0.81,0.82,0.95
54,xlmrl_bcms-48-0,0.93,0.77,0.85,0.94
55,xlmrl_bcms-48-1,0.93,0.83,0.83,0.94
56,xlmrl_bcms-48-2,0.93,0.83,0.85,0.94
57,xlmrl_bcms-6-0,0.92,0.83,0.81,0.94
58,xlmrl_bcms-6-1,0.91,0.79,0.8,0.94
59,xlmrl_bcms-6-2,0.91,0.8,0.81,0.94
60,xlmrl_sl-bcms-12-0,0.93,0.79,0.81,0.94
61,xlmrl_sl-bcms-12-1,0.93,0.78,0.79,0.94
62,xlmrl_sl-bcms-12-2,0.93,0.84,0.79,0.95
63,xlmrl_sl-bcms-18-0,0.92,0.83,0.79,0.95
64,xlmrl_sl-bcms-18-1,0.93,0.78,0.77,0.95
65,xlmrl_sl-bcms-18-2,0.92,0.8,0.75,0.94
66,xlmrl_sl-bcms-24-0,0.93,0.79,0.81,0.94
67,xlmrl_sl-bcms-24-1,0.93,0.75,0.82,0.94
68,xlmrl_sl-bcms-24-2,0.92,0.79,0.84,0.95
69,xlmrl_sl-bcms-30-0,0.93,0.81,0.79,0.95
70,xlmrl_sl-bcms-30-1,0.93,0.81,0.8,0.95
71,xlmrl_sl-bcms-30-2,0.92,0.78,0.76,0.94
72,xlmrl_sl-bcms-36-0,0.93,0.82,0.81,0.95
73,xlmrl_sl-bcms-36-1,0.93,0.82,0.82,0.95
74,xlmrl_sl-bcms-36-2,0.92,0.82,0.8,0.93
75,xlmrl_sl-bcms-42-0,0.93,0.8,0.85,0.94
76,xlmrl_sl-bcms-42-1,0.93,0.81,0.81,0.93
77,xlmrl_sl-bcms-42-2,0.92,0.81,0.79,0.92
78,xlmrl_sl-bcms-48-0,0.92,0.82,0.82,0.95
79,xlmrl_sl-bcms-48-1,0.93,0.82,0.83,0.95
80,xlmrl_sl-bcms-48-2,0.93,0.8,0.82,0.95
81,xlmrl_sl-bcms-6-0,0.93,0.8,0.79,0.95
82,xlmrl_sl-bcms-6-1,0.92,0.81,0.82,0.93
83,xlmrl_sl-bcms-6-2,0.91,0.75,0.76,0.95
