,Run,datasets/hr500k.conllup_extracted.json,datasets/reldi-normtagner-hr.conllup_extracted.json
0,xlmrb_bcms-12-0,0.92,0.78
1,xlmrb_bcms-12-1,0.91,0.76
2,xlmrb_bcms-12-2,0.91,0.77
3,xlmrb_bcms-24-0,0.92,0.78
4,xlmrb_bcms-24-1,0.91,0.78
5,xlmrb_bcms-24-2,0.91,0.75
6,xlmrb_bcms-36-0,0.91,0.77
7,xlmrb_bcms-36-1,0.91,0.82
8,xlmrb_bcms-36-2,0.92,0.78
9,xlmrb_bcms-48-0,0.92,0.77
10,xlmrb_bcms-48-1,0.92,0.8
11,xlmrb_bcms-48-2,0.91,0.8
12,xlmrb_bcms-60-0,0.91,0.77
13,xlmrb_bcms-60-1,0.92,0.8
14,xlmrb_bcms-60-2,0.92,0.78
15,xlmrb_bcms-72-0,0.92,0.81
16,xlmrb_bcms-72-1,0.92,0.8
17,xlmrb_bcms-72-2,0.91,0.81
18,xlmrb_bcms-84-0,0.92,0.78
19,xlmrb_bcms-84-1,0.92,0.77
20,xlmrb_bcms-84-2,0.92,0.8
21,xlmrb_bcms-96-0,0.92,0.79
22,xlmrb_bcms-96-1,0.92,0.81
23,xlmrb_bcms-96-2,0.91,0.77
