Date	Model	Run	Dataset	Micro F1	Macro F1	Label Report

16/08/2023 16:15:51	xlm-r-large	xlm-r-large-3	datasets/hr500k.conllup_extracted.json	0.839675717913655	0.09753576331931116	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.009079118028534372, 'recall': 0.009150326797385621, 'f1-score': 0.009114583333333334, 'support': 765.0}, 'B-misc': {'precision': 0.005780346820809248, 'recall': 0.005714285714285714, 'f1-score': 0.005747126436781608, 'support': 350.0}, 'B-org': {'precision': 0.013210039630118891, 'recall': 0.013404825737265416, 'f1-score': 0.013306719893546242, 'support': 746.0}, 'B-per': {'precision': 0.0111731843575419, 'recall': 0.011560693641618497, 'f1-score': 0.011363636363636364, 'support': 692.0}, 'I-loc': {'precision': 0.0072992700729927005, 'recall': 0.006060606060606061, 'f1-score': 0.006622516556291392, 'support': 165.0}, 'I-misc': {'precision': 0.004158004158004158, 'recall': 0.003929273084479371, 'f1-score': 0.0040404040404040395, 'support': 509.0}, 'I-org': {'precision': 0.005084745762711864, 'recall': 0.005385996409335727, 'f1-score': 0.0052310374891020054, 'support': 557.0}, 'I-per': {'precision': 0.004405286343612335, 'recall': 0.0045351473922902496, 'f1-score': 0.00446927374301676, 'support': 441.0}, 'O': {'precision': 0.9157160828127332, 'recall': 0.9152087284505722, 'f1-score': 0.9154623353369997, 'support': 46927.0}, 'accuracy': 0.839675717913655, 'macro avg': {'precision': 0.09759060779870586, 'recall': 0.09749498832878388, 'f1-score': 0.09753576331931114, 'support': 51190.0}, 'weighted avg': {'precision': 0.8401340014908686, 'recall': 0.839675717913655, 'f1-score': 0.8399044643242222, 'support': 51190.0}}
16/08/2023 16:35:53	xlm-r-large	xlm-r-large-4	datasets/hr500k.conllup_extracted.json	0.8395389724555579	0.09713091153659928	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.00788436268068331, 'recall': 0.00784313725490196, 'f1-score': 0.007863695937090433, 'support': 765.0}, 'B-misc': {'precision': 0.0056022408963585435, 'recall': 0.005714285714285714, 'f1-score': 0.005657708628005658, 'support': 350.0}, 'B-org': {'precision': 0.012032085561497326, 'recall': 0.012064343163538873, 'f1-score': 0.012048192771084336, 'support': 746.0}, 'B-per': {'precision': 0.010057471264367816, 'recall': 0.010115606936416185, 'f1-score': 0.010086455331412104, 'support': 692.0}, 'I-loc': {'precision': 0.0072992700729927005, 'recall': 0.006060606060606061, 'f1-score': 0.006622516556291392, 'support': 165.0}, 'I-misc': {'precision': 0.0038910505836575876, 'recall': 0.003929273084479371, 'f1-score': 0.003910068426197458, 'support': 509.0}, 'I-org': {'precision': 0.005119453924914676, 'recall': 0.005385996409335727, 'f1-score': 0.005249343832020997, 'support': 557.0}, 'I-per': {'precision': 0.004434589800443459, 'recall': 0.0045351473922902496, 'f1-score': 0.004484304932735425, 'support': 441.0}, 'O': {'precision': 0.9156503198294244, 'recall': 0.9151234896754533, 'f1-score': 0.9153868289511549, 'support': 46927.0}, 'accuracy': 0.8395389724555578, 'macro avg': {'precision': 0.09719708446143398, 'recall': 0.09707718856913075, 'f1-score': 0.09713091153659927, 'support': 51190.0}, 'weighted avg': {'precision': 0.8400203692242814, 'recall': 0.8395389724555578, 'f1-score': 0.8397793676411326, 'support': 51190.0}}
16/08/2023 16:43:52	sloberta	sloberta-0	datasets/hr500k.conllup_extracted.json	0.8381910529400274	0.09633340500405027	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.007853403141361256, 'recall': 0.00784313725490196, 'f1-score': 0.007848266841072595, 'support': 765.0}, 'B-misc': {'precision': 0.005194805194805195, 'recall': 0.005714285714285714, 'f1-score': 0.005442176870748299, 'support': 350.0}, 'B-org': {'precision': 0.005361930294906166, 'recall': 0.005361930294906166, 'f1-score': 0.005361930294906166, 'support': 746.0}, 'B-per': {'precision': 0.00938337801608579, 'recall': 0.010115606936416185, 'f1-score': 0.009735744089012515, 'support': 692.0}, 'I-loc': {'precision': 0.0070921985815602835, 'recall': 0.006060606060606061, 'f1-score': 0.0065359477124183, 'support': 165.0}, 'I-misc': {'precision': 0.003780718336483932, 'recall': 0.003929273084479371, 'f1-score': 0.0038535645472061652, 'support': 509.0}, 'I-org': {'precision': 0.00530035335689046, 'recall': 0.005385996409335727, 'f1-score': 0.005342831700801425, 'support': 557.0}, 'I-per': {'precision': 0.004424778761061947, 'recall': 0.0045351473922902496, 'f1-score': 0.004479283314669653, 'support': 441.0}, 'O': {'precision': 0.9157110214192666, 'recall': 0.9137596692735526, 'f1-score': 0.9147343046696674, 'support': 46927.0}, 'accuracy': 0.8381910529400274, 'macro avg': {'precision': 0.09641025871024217, 'recall': 0.0962705652420774, 'f1-score': 0.09633340500405026, 'support': 51190.0}, 'weighted avg': {'precision': 0.8399665688142807, 'recall': 0.8381910529400274, 'f1-score': 0.839077432176352, 'support': 51190.0}}
16/08/2023 16:51:51	sloberta	sloberta-1	datasets/hr500k.conllup_extracted.json	0.8386403594452041	0.09675625272861192	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.007832898172323759, 'recall': 0.00784313725490196, 'f1-score': 0.007838014369693011, 'support': 765.0}, 'B-misc': {'precision': 0.005390835579514825, 'recall': 0.005714285714285714, 'f1-score': 0.005547850208044383, 'support': 350.0}, 'B-org': {'precision': 0.007863695937090432, 'recall': 0.00804289544235925, 'f1-score': 0.007952286282306162, 'support': 746.0}, 'B-per': {'precision': 0.010624169986719787, 'recall': 0.011560693641618497, 'f1-score': 0.01107266435986159, 'support': 692.0}, 'I-loc': {'precision': 0.006711409395973154, 'recall': 0.006060606060606061, 'f1-score': 0.006369426751592356, 'support': 165.0}, 'I-misc': {'precision': 0.00411522633744856, 'recall': 0.003929273084479371, 'f1-score': 0.004020100502512563, 'support': 509.0}, 'I-org': {'precision': 0.005208333333333333, 'recall': 0.005385996409335727, 'f1-score': 0.0052956751985878195, 'support': 557.0}, 'I-per': {'precision': 0.004524886877828055, 'recall': 0.0045351473922902496, 'f1-score': 0.004530011325028313, 'support': 441.0}, 'O': {'precision': 0.9156883671291356, 'recall': 0.9141858631491465, 'f1-score': 0.914936498288493, 'support': 46927.0}, 'accuracy': 0.8386403594452041, 'macro avg': {'precision': 0.09679598227493676, 'recall': 0.09672578981490233, 'f1-score': 0.09675625272861192, 'support': 51190.0}, 'weighted avg': {'precision': 0.8400020268833633, 'recall': 0.8386403594452041, 'f1-score': 0.8393202224204555, 'support': 51190.0}}
16/08/2023 16:59:40	sloberta	sloberta-2	datasets/hr500k.conllup_extracted.json	0.8386012893143192	0.09675246230526856	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.007874015748031496, 'recall': 0.00784313725490196, 'f1-score': 0.007858546168958742, 'support': 765.0}, 'B-misc': {'precision': 0.0055248618784530384, 'recall': 0.005714285714285714, 'f1-score': 0.005617977528089888, 'support': 350.0}, 'B-org': {'precision': 0.008021390374331552, 'recall': 0.00804289544235925, 'f1-score': 0.008032128514056224, 'support': 746.0}, 'B-per': {'precision': 0.010582010582010581, 'recall': 0.011560693641618497, 'f1-score': 0.011049723756906075, 'support': 692.0}, 'I-loc': {'precision': 0.006578947368421052, 'recall': 0.006060606060606061, 'f1-score': 0.006309148264984227, 'support': 165.0}, 'I-misc': {'precision': 0.00392156862745098, 'recall': 0.003929273084479371, 'f1-score': 0.0039254170755642775, 'support': 509.0}, 'I-org': {'precision': 0.00528169014084507, 'recall': 0.005385996409335727, 'f1-score': 0.005333333333333333, 'support': 557.0}, 'I-per': {'precision': 0.0044742729306487695, 'recall': 0.0045351473922902496, 'f1-score': 0.004504504504504504, 'support': 441.0}, 'O': {'precision': 0.9156456776947706, 'recall': 0.9141432437615872, 'f1-score': 0.9148938439062884, 'support': 46927.0}, 'accuracy': 0.8386012893143192, 'macro avg': {'precision': 0.09679044353449631, 'recall': 0.0967215278761464, 'f1-score': 0.09675246230526856, 'support': 51190.0}, 'weighted avg': {'precision': 0.8399641611632591, 'recall': 0.8386012893143192, 'f1-score': 0.839281814213012, 'support': 51190.0}}
16/08/2023 17:07:38	sloberta	sloberta-3	datasets/hr500k.conllup_extracted.json	0.8384840789216643	0.09677783026447759	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.007957559681697613, 'recall': 0.00784313725490196, 'f1-score': 0.007899934167215275, 'support': 765.0}, 'B-misc': {'precision': 0.005305039787798408, 'recall': 0.005714285714285714, 'f1-score': 0.005502063273727648, 'support': 350.0}, 'B-org': {'precision': 0.007863695937090432, 'recall': 0.00804289544235925, 'f1-score': 0.007952286282306162, 'support': 746.0}, 'B-per': {'precision': 0.009271523178807948, 'recall': 0.010115606936416185, 'f1-score': 0.009675190048375951, 'support': 692.0}, 'I-loc': {'precision': 0.006666666666666667, 'recall': 0.006060606060606061, 'f1-score': 0.006349206349206349, 'support': 165.0}, 'I-misc': {'precision': 0.004032258064516129, 'recall': 0.003929273084479371, 'f1-score': 0.003980099502487562, 'support': 509.0}, 'I-org': {'precision': 0.006993006993006993, 'recall': 0.00718132854578097, 'f1-score': 0.0070859167404783, 'support': 557.0}, 'I-per': {'precision': 0.004464285714285714, 'recall': 0.0045351473922902496, 'f1-score': 0.004499437570303712, 'support': 441.0}, 'O': {'precision': 0.9156544200841108, 'recall': 0.9140153855989089, 'f1-score': 0.914834168710675, 'support': 46927.0}, 'accuracy': 0.8384840789216644, 'macro avg': {'precision': 0.09682084561079807, 'recall': 0.09674376660300286, 'f1-score': 0.09677783026447759, 'support': 51190.0}, 'weighted avg': {'precision': 0.8399718256266466, 'recall': 0.8384840789216644, 'f1-score': 0.8392268888696423, 'support': 51190.0}}
16/08/2023 17:15:37	sloberta	sloberta-4	datasets/hr500k.conllup_extracted.json	0.8386403594452041	0.09663583160081532	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.007894736842105263, 'recall': 0.00784313725490196, 'f1-score': 0.007868852459016393, 'support': 765.0}, 'B-misc': {'precision': 0.005235602094240838, 'recall': 0.005714285714285714, 'f1-score': 0.005464480874316939, 'support': 350.0}, 'B-org': {'precision': 0.006640106241699867, 'recall': 0.006702412868632708, 'f1-score': 0.006671114076050701, 'support': 746.0}, 'B-per': {'precision': 0.010652463382157125, 'recall': 0.011560693641618497, 'f1-score': 0.011088011088011088, 'support': 692.0}, 'I-loc': {'precision': 0.0070921985815602835, 'recall': 0.006060606060606061, 'f1-score': 0.0065359477124183, 'support': 165.0}, 'I-misc': {'precision': 0.0039603960396039604, 'recall': 0.003929273084479371, 'f1-score': 0.003944773175542406, 'support': 509.0}, 'I-org': {'precision': 0.0053285968028419185, 'recall': 0.005385996409335727, 'f1-score': 0.005357142857142858, 'support': 557.0}, 'I-per': {'precision': 0.004464285714285714, 'recall': 0.0045351473922902496, 'f1-score': 0.004499437570303712, 'support': 441.0}, 'O': {'precision': 0.9156510789063668, 'recall': 0.9142071728429263, 'f1-score': 0.9149285561953509, 'support': 46927.0}, 'accuracy': 0.8386403594452041, 'macro avg': {'precision': 0.09669194646048618, 'recall': 0.09659387252690765, 'f1-score': 0.09663583160081532, 'support': 51190.0}, 'weighted avg': {'precision': 0.8399507319973106, 'recall': 0.8386403594452041, 'f1-score': 0.8392945624780006, 'support': 51190.0}}
16/08/2023 17:24:09	csebert	csebert-0	datasets/hr500k.conllup_extracted.json	0.840339910138699	0.09710729886996747	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.010309278350515464, 'recall': 0.01045751633986928, 'f1-score': 0.010382868267358857, 'support': 765.0}, 'B-misc': {'precision': 0.005698005698005698, 'recall': 0.005714285714285714, 'f1-score': 0.005706134094151214, 'support': 350.0}, 'B-org': {'precision': 0.009510869565217392, 'recall': 0.00938337801608579, 'f1-score': 0.009446693657219972, 'support': 746.0}, 'B-per': {'precision': 0.011235955056179775, 'recall': 0.011560693641618497, 'f1-score': 0.011396011396011393, 'support': 692.0}, 'I-loc': {'precision': 0.006711409395973154, 'recall': 0.006060606060606061, 'f1-score': 0.006369426751592356, 'support': 165.0}, 'I-misc': {'precision': 0.0020491803278688526, 'recall': 0.0019646365422396855, 'f1-score': 0.0020060180541624875, 'support': 509.0}, 'I-org': {'precision': 0.005405405405405406, 'recall': 0.005385996409335727, 'f1-score': 0.00539568345323741, 'support': 557.0}, 'I-per': {'precision': 0.004484304932735426, 'recall': 0.0045351473922902496, 'f1-score': 0.004509582863585118, 'support': 441.0}, 'O': {'precision': 0.9157239939498519, 'recall': 0.9159971871204211, 'f1-score': 0.9158605701623558, 'support': 46927.0}, 'accuracy': 0.840339910138699, 'macro avg': {'precision': 0.09711284026817531, 'recall': 0.0971059447236752, 'f1-score': 0.09710729886996747, 'support': 51190.0}, 'weighted avg': {'precision': 0.8400873209266468, 'recall': 0.840339910138699, 'f1-score': 0.840213487611849, 'support': 51190.0}}
16/08/2023 17:32:25	csebert	csebert-1	datasets/hr500k.conllup_extracted.json	0.8396561828482125	0.097252688620791	{'B-deriv-per': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38.0}, 'B-loc': {'precision': 0.010309278350515464, 'recall': 0.01045751633986928, 'f1-score': 0.010382868267358857, 'support': 765.0}, 'B-misc': {'precision': 0.005633802816901409, 'recall': 0.005714285714285714, 'f1-score': 0.005673758865248227, 'support': 350.0}, 'B-org': {'precision': 0.00816326530612245, 'recall': 0.00804289544235925, 'f1-score': 0.008102633355840648, 'support': 746.0}, 'B-per': {'precision': 0.012534818941504178, 'recall': 0.01300578034682081, 'f1-score': 0.012765957446808512, 'support': 692.0}, 'I-loc': {'precision': 0.006578947368421052, 'recall': 0.006060606060606061, 'f1-score': 0.006309148264984227, 'support': 165.0}, 'I-misc': {'precision': 0.003898635477582846, 'recall': 0.003929273084479371, 'f1-score': 0.003913894324853228, 'support': 509.0}, 'I-org': {'precision': 0.00539568345323741, 'recall': 0.005385996409335727, 'f1-score': 0.005390835579514826, 'support': 557.0}, 'I-per': {'precision': 0.004454342984409799, 'recall': 0.0045351473922902496, 'f1-score': 0.0044943820224719105, 'support': 441.0}, 'O': {'precision': 0.9157569296375266, 'recall': 0.9152300381443519, 'f1-score': 0.9154934080808297, 'support': 46927.0}, 'accuracy': 0.8396561828482125, 'macro avg': {'precision': 0.09727257043362211, 'recall': 0.09723615389343984, 'f1-score': 0.09725268862079102, 'support': 51190.0}, 'weighted avg': {'precision': 0.8401325932675057, 'recall': 0.8396561828482125, 'f1-score': 0.8398942054588373, 'support': 51190.0}}
